ababa addis -1	Up to seven people were killed when forces fire on demonstrators in Addis Ababa on May 29 .
movement union -1	The union laws which we face in October are just another attempt by this government to wipe socialism and break the trade union movement .
movements bowel -1	It could be elicited in 168 children and was 4 ( 5 ) bowel movements per week .
movements eye -1	Brain synaptic plasticity has also been suggested based on measurements of eye movements and neuronal responses during before and after adaptation in monkeys and goldfish .
mover prime -1	Who knows why certain people are called up to join the Prime Mover ?
moves towards 1	Old skills are China moves towards being a throwaway society .
moving slow -1	As he raced one sharp corner he almost ran into the back of a slow moving lorry .
mp tory -1	It is the sort of proposal that sends a chill the spine of a Tory MP in a marginal seat .
mps labour -1	It made a mockery of Bryan Gould 's claims that up to 100 Labour MPs supported him .
mps tory -1	They 're among more than twenty Tory MPs facing huge personal losses .
mr according -2	Conversely can be a disadvantage too , according to Mr Queen .
mr andrew 1	There might indeed be news of her beloved Mr. Andrew , but it might not be good news .
mr bush 1	The figures may be better , but a sense of directionless malaise in America may hurt Mr Bush harder .
mr evans 1	Albert came to the shop in the late afternoon with a letter for Mr Evans from Hepzibah .
mr hussein 1	Little more can be offered without handing Mr Hussein the propaganda victory the Americans and Europeans say they insist denying him .
mr james 1	But by the most brilliant people ; even Mr James took a hand .
mr malik 1	But there was still an alarmingly improvisatory air about Mr Malik 's school .
mr robert 1	We have not yet concluded whether that work should be in the form suggested by Mr. Robert McNamara or be carried out in other ways .
mr rochester 1	Two disappointing weeks before we heard from Mr Rochester again .
mr utterson 1	One of these was Doctor Jekyll 's house , and Mr Utterson knocked at the front door .
mrs aquino 1	At the same time , Mrs Aquino is mobilising popular support for her beleaguered government .
mrs beavis 1	It was a large Victorian family kitchen , and looked so when it was empty or Mrs Beavis was there .
mrs browning 1	Mrs Browning did not wish to hold him , saying she feared her arms were not strong enough and that her cough might disturb him .
mrs carson 1	It was a style Ruth had devised herself and Mrs Carson was delighted with the result .
mrs frizzell 1	Mrs Frizzell immediately saw the relevance of his advice and began to look more like her normal self .
mrs goreng 1	I do n't think a could have taught Mrs Goreng anything about the black arts of dissimulation .
mrs hollidaye 1	She was n't sure if Mrs Hollidaye had heard .
mrs parvis 1	It sounded better than in those fires of hell that Mrs Parvis once mentioned .
mrs richards 1	You had locked the door after treating Mrs Richards , with all the drugs in their correct places .
mrs singh 1	He gave Mr and Mrs Singh a school booklet and saw us out .
mrs stych 1	Mrs Stych glared at the exquisite collection of cookies she was arranging a tray .
mrs wright 1	Looking at it he saw that it was Mrs Wright 's .
much closer 1	And true enough , in the last few days they had grown much closer to each other .
much higher 1	This is possible for two reasons : a reduction in internal losses and increased lamp efficiency due to a much higher operating frequency .
much larger 1	At the annual meeting , some 70 people of the parish scheme and of plans to extend the building itself to provide a much larger Christian centre .
much lower 1	Not only was the number of court cases higher in Sri Lanka than in India , but the proportion of convictions to cases was much lower .
much pretty -1	Uniforms have always been attractive to certain women , and the overalls have become pretty much a .
much twice -2	The latter is over a thousand feet in the Belfast area , and twice as much at Larne .
much wider 1	The case of Ridge v. Baldwin ( H.L. 1964 ) opened up the application of the rules of natural justice to a much wider range of circumstances .
mucosa colonic -1	In this study , two immunocytochemical methods that different components of the cell cycle were compared to assess cell proliferation on biopsy from human colonic mucosa .
mucosal gastric -1	Glutathione peroxidase is important in the elimination of hydrogen peroxide and lipid hydroperoxides in the gastric mucosal cell .
mug tea 2	Five minutes later he had slithered the sandy cliffs , a mug of tea slopping in each hand .
multi coloured 1	It was just like the tube back at work in Witwaterstrand , vertical strings of graffiti dripping unsuccessfully in multi-coloured smears .
multi disciplinary 1	Botany today comprises a multi-disciplinary approach to all aspects of plant science .
multi faceted 1	Now they are composite , multi-faceted and potentially more dangerous - and the governments contributing troops tend to be much more demanding .
multi media 1	In spite of the title , Mac Publishing also covers Macintosh presentations and multi-media .
multi million 1	Consider the difference between acquiring another car or two and a multi-million pound plant .
multi millionaire 1	As if that was n't enough , Richard 's also a multi-millionaire .
multi national 1	And his lawyers are pointing to a multi-national agreement on child abduction the Hague Convention .
multi party 1	To implant multi-party democracy in ancient nations like Poland and Hungary makes historical sense .
multi pound 2	Consider the difference between acquiring another car or two and a multi-million pound plant .
multi processing 1	The version of Destiny will reportedly not support multi-processing .
multi purpose 1	And on its site , has started on a new multi purpose complex which is the latest phase in the revitalisation of the village .
multi racial 1	It 'll be the first time the race will be multi racial .
multi storey 1	Adequate street and multi-storey parking facilities are available within easy walking distance .
multinational companies 1	Coopers believes there will be an exodus from Britain of multinational companies unwilling to foot Labour 's tax bill .
multinational corporations 1	Multinational corporations have an unusually large role in the UK 's economy .
multiparty system 1	An extraordinary congress of the Seychelles People 's Progressive Front ( SPPF ) voted on Dec. 3 to legalize the activity of opposition parties within a multiparty system .
multiple sclerosis 1	It can also indicate the presence of other illnesses such as multiple sclerosis .
murder attempting -2	The 47-year-old consultant now faces being struck the Medical Register for attempting to murder a terminally-ill patient .
muscle smooth -1	In addition to its potent vasoconstrictive actions , ET-1 is also a mitogen for vascular smooth muscle cells .
muscular dystrophy 1	Absence of the terminus of dystrophin is associated with severe phenotypes in most muscular dystrophy patients .
museum albert -1	She always felt unnerved when she researched at the august Victoria and Albert Museum and became only too conscious of her lack of formal training .
museum victoria -3	She always felt unnerved when she researched at the august Victoria and Albert Museum and became only too conscious of her lack of formal training .
museum war -1	Their story forms the basis of a new exhibition at the Imperial War Museum .
music business 1	Biggest buyers were the eight million pop fans aged between 12 and 25 , says a report by Music Business International .
music chamber -1	They have done so as part of a widely comprehensive output , ranging from chamber music to symphonies and opera .
music hall 1	But in London it brought belly laughs with a bawdy display of music hall humour and saucy songs .
music industry 1	A story of the music industry using the experience of a pop master and the wit of the Irish .
music kind -2	But this culture has already been defined in this way partially because of the existence in it of this particular kind of music .
music piece -2	And is n't the women 's quartet a remarkable piece of music ?
music pop -1	There was now a modest division , concentrating mostly on pop music books .
music popular -1	Any radical policy for the record industry should begin from the need to maintain a real plurality in popular music .
music rock -1	Also , there is now a growing interest in the roots of rock music too .
music room 1	She sheltered a summer-house twenty metres from the windows of the music room .
musical instruments 1	For years , the technique was kinder to the voice than to most musical instruments .
musicians church -1	Also included in this chapter is a description of those areas of insurance which apply to church musicians and their instruments .
must although -2	No one else in the pictures , although someone must have been there to point the camera .
must confess 1	And I must confess I find it makes things easier .
must follow 1	Consequently , we consider it our duty to indicate the correct path which the people must follow if it is to realize its aspiration .
must gone 2	He broke into a trot and the three surprised young men did likewise , aware that something must have gone .
must got 2	Although it was very unlikely , he must have got the number from the boat company .
must paid 2	In those circumstances , money received by a firm must be paid into an on-exchange margined transaction bank .
muttered something 1	He looked at the stubborn set of her mouth and muttered something - obviously rude - in .
mutual recognition 1	The Directive also provides for the EC to enter into bilateral agreements with non-member states for mutual recognition of particulars .
mutual support 1	Free discussion about attitudes to a problem will relieve anxiety , and mutual support can be obtained .
mutually exclusive 1	It has also been recognized that may not be correct supposing that cost-leadership and differentiation policies should always be mutually exclusive .
myc c -1	C-myc encodes a nuclear phosphoprotein is induced during cell proliferation , and is probably necessary for DNA synthesis .
myocardial infarction 1	There are important omissions , such as the 5 mg on the crash trolley and aspirin as a main line treatment in myocardial infarction .
nagorny karabakh 1	Armenia had not created its own armed forces , and all those fighting in the Nagorny Karabakh conflict were volunteers .
naked eye 1	It LOOKS like an ordinary card , but has differences that are invisible to the naked eye .
name bad -1	While they were eating , a woman who had a bad name crept into the room and knelt at the feet of Jesus .
name big -1	Although little known as yet over here , their unashamedly passionate lyrics and stunning vocal harmonies have earned them a big name in the States .
name brand -1	You need a kit sold under the brand name of Micro-mesh which is cloth-backed sheets in a range up to something like 10 , 000 .
name christian -1	If he were master of the house , no maid would address a senior employee of the master 's by his Christian name .
name common -1	When the polyps are retracted the polypary and feels like a piece of wet leather , hence the common name for these animals .
name household -1	There are some household name companies whose boards still do n't get monthly results .
name implies 1	As its name implies , the Home Management Account is geared to helping you control the household budget .
name proper -1	It is very offensive not to call it by its proper name ; - ) .
name suggests 1	It is a large swan with a white body and - as its name suggests - a black head and .
name took -2	The third was to be Imrik , who upon his succession took the name the First .
names big -1	As the election campaign entered its third week , the main parties once again sent some of their big names North .
names brand -1	Strings Ltd were and selling half round and phosphor bronze in the '50s under such brand names as and .
names like 1	They had scornful eyes and superior expressions and were all called by sensible names like Susan .
names module -1	A listing of all module names can be obtained using or LIFESPAN Relational Database ( ) .
names whose -1	The Commission is grateful for information and evidence from many communities and from a number of people whose names are listed in Appendix 2. 10 .
napoleon iii 1	Napoleon III had a personal reason for wishing to intervene Italian affairs .
napoleonic wars 1	Schneider-Siemssen 's post-Thirty Years War landscape catches well the insecure mood of the opera , in the aftermath of the Napoleonic wars .
narrow gauge 1	The broad gauge , but the narrow gauge up a respectable performance .
natal post -1	A few days the birth she fell into a post-natal depression .
nathan bryce 1	Except that even with costume and make-up the star had looked less like a pirate than Nathan Bryce did at this moment .
nation states 1	I just do n't believe that a conglomeration of nation-states will be able to deal with it .
nation wide 1	It was one of those Bolshevik instruments of nation-wide control which will be studied in the next chapter .
national abbey -1	A consistently competitive rate is part of the deal , and need only look at Abbey National 's interest rates over the few years .
national anthem 1	You could whistle a song , but you could n't wish whistle the National Anthem .
national audit 1	It would require them to conform to stricter accounting and electoral procedures , and suggests scrutiny by the National Audit Office .
national debt 1	Even when the government runs a budget surplus the Bank of England will still have to manage the national debt ( the accumulated borrowing from the ) .
national farmers 1	I have corresponded with a number of individuals and organisations including the National Farmers and a local MP .
national governments 1	It is the best and only basis for strengthening cooperation between the Twelve , while leaving ultimate power with national governments .
national grand -1	In 1973 he again tried his hand at Cheltenham and ran third in the Champion before being directed to Liverpool for the Grand National .
national identity 1	Only the nationalist Irish explicitly exempted themselves from the interplay of national identity and shared sentiments through games .
national liberation 1	What turns national liberation into a stable nationalism is the accomplishment of State power .
national lottery 1	I SUPPOSE every organisation in the land will be claiming a slice of the cash from the new National Lottery .
national multi -1	And his lawyers are pointing to a multi-national agreement on child abduction the Hague Convention .
national rivers 1	A study of beaches in England and Wales conducted by the National Rivers Authority ( NRA ) has shown that they are getting cleaner .
national savings 1	They missed the 7.75 per cent rate as panicky ministers National Savings to cut the rate 0.5 per cent .
national westminster 1	Nearly five thousand job losses have been announced with four thousand redundancies at the National Westminster and eight hundred within the Department of Employment .
nationalised industries 1	And except in one , it applies with equal force to nationalised industries .
nationalized industries 1	It has always been the policy of the Government for nationalized industries to adopt best commercial practice at least .
nations league -2	The last census was in 1932 , when France was still exercising its League of Nations for Lebanon in neo-colonial fashion .
nations united -1	Upper classes are often heavily loaded with current world affairs and the complicated workings of the United Nations and its agencies .
natural beauty 1	Oil companies are planning to carry out exploratory at sites adjacent to Hadrian 's Wall and within an area of outstanding natural beauty in Surrey .
natural causes 1	Spencer believed that social evolution was part of the processes of evolution at large and societal arrangements were the outcome of natural causes .
natural gas 1	In ( ) engines all gas fuels have a lot to offer , and natural gas produces the cleanest burn of the lot .
natural justice 1	An obvious example would be if it reached a decision in flagrant breach of the rules of natural justice .
natural language 1	It is normally said that as one goes further this ascent of languages , the code becomes progressively more like a natural language such as .
natural law 1	Landowners within the forest the restraints imposed upon them an arbitrary intrusion upon the rights of property which was contrary to natural law and justice .
natural monopoly 1	Perhaps such arguments are beside the main point , which is to cover the natural monopoly case .
natural order 1	In the vast majority of cases hierarchical inequality is taken for granted as part of the natural order of things .
natural outstanding -1	Oil companies are planning to carry out exploratory at sites adjacent to Hadrian 's Wall and within an area of outstanding natural beauty in Surrey .
natural parents 1	Four out of five of the 11. 6 million children aged under 16 in Britain in 1986 were living with both their natural parents ( OPCS , 1988 ) .
natural philosophy 1	Since there are no natures or essences , there is nothing closed to natural philosophy .
natural resources 1	Third-year courses include material on business management and the management and utilisation of natural resources .
natural science 1	This makes it a problem about explanation ( not about ) with the tradition of natural science in mind .
natural way 1	Disuse is the natural way to kill off an old behaviour pattern .
nature council 1	It has been argued by a former Advisory Officer of the Nature Council that the implications for wildlife conservation may be considerable .
nature exact -1	Both are represented schematically in figure 11.5 but the exact nature of the structure has been the subject of considerable controversy .
nature fund -2	It was one of three major recommendations to the government by the World Wide Fund for Nature ( WWF ) .
nature precise -1	What is its precise nature and why is it before this court ?
nature reserve 1	Also with us was Jim McGeoch , naturalist and official warden for the latter nature reserve .
nature reserves 1	Nature conservation has only been promoted by government in France since 1976 ; to date only 2 official Nature Reserves have been designated in the .
nature true -1	The pamphlet began its argument for the dependence of harmony and on the recognition of man 's true nature by man from other animals .
nature wide -3	It was one of three major recommendations to the government by the World Wide Fund for Nature ( WWF ) .
natured good -1	Dr Mirabilis just him and held up his hands , calming the clamour and good natured cat .
naval base 1	Cam Bay is regarded as having developed into the largest Soviet naval base outside the USSR .
naval royal -1	It is a marked distinction of the sensible policy of the Territorial Army and the Royal Naval Reserve in that matter .
navy blue 1	He spoke to her and she dug her into his navy blue breast and slept again , more deeply .
navy merchant -1	A in employment has followed a decline in the level of employment in the British Merchant Navy deep-sea trades .
navy us -1	To enable the supplies to reach their destination , the US Navy began to co-operate with the Royal Navy in convoys across the Atlantic .
nazi germany 1	And why were evangelical Christians and Bruce Springsteen disco in ceremonies reminiscent of the book bonfires of Nazi Germany ?
nazi neo -1	The opposition Social Democrats called for neo-Nazi arsonists to be punished severely .
nd minute 1	Marshall completely a 22nd-minute chance he was one-on-one with Posh keeper Ian Bennett .
near anywhere -1	Active cases must be well isolated so that disease free horses can not come anywhere near infected cases .
near darlington 1	They took him to Melland Street near Darlington Civic Theatre , where they stole the money he was carrying .
near future 1	Such positions are taken by a bank on the basis of its view on how rates are likely to fluctuate in the near future .
near nowhere -1	She remembered helping in the hotel kitchen she was ten but nowhere near the Bar .
near oxford 1	And two years ago , there were calls for coach seat belts after two people died in this crash on the A40 near Oxford .
near quite -1	The beach up to green slopes , and quite near she could see a forest begin .
nearest thing 1	As I could n't take Lisabeth with me , it was the nearest thing I had to a lethal weapon .
nearing completion 1	A Working Party to review the Institute 's international role has been set up and its work is nearing completion .
nearing end 2	He came round just as evening surgery was nearing its end .
nearly always 1	In child protection the character of a parent , guardian or anyone else for a child is nearly always relevant .
nearly everyone 1	There is a lack of facilities , but nearly everyone has a car .
nearly finished 1	I 'm gon na put me feet up for a few minutes , do you want now we 've nearly finished ?
nearly hundred 2	He built a prototype which for nearly a hundred years lay in the Smithsonian Institution , Washington DC .
nearly ten 1	The fact is that the material has been around for nearly ten years and no one has ever sued .
nearly third 2	Nevertheless , the Report estimated that the proportion of dependents who were elderly would increase that period from 12 per cent to nearly a third by 1979 .
nearly twenty 1	One of Edinburgh 's most unusual houses has opened to the public , for the first time nearly twenty years .
necessarily imply 1	This parallels our finding of a higher incidence among women , but does not necessarily imply a causative role of anal intercourse .
necessarily must -1	If the soul 's fate was indeed , it followed that all human to bring about its salvation must necessarily be in vain .
necessarily n -2	This is much more difficult , because one of the most important characteristics of case studies is that there is n't necessarily only one .
necessarily without -1	Another rise in interest rates would make recession much more likely without necessarily ensuring a rapid easing of inflation .
necessary absolutely -1	Already the vehicle contains a high proportion of recycled metal ( steel and aluminium ) , with zinc only used where absolutely necessary .
neck around -2	And because of it tipped Ruth 's heart so desperately she curled her arms around his neck and to him .
need able 3	I have big hands and I need to be able to grab onto something and bend the shit out of those strings .
need going -2	I did n't try to go into details on the phone , but said that we were going to need some police observation .
need keep 2	The commercial difficulties which necessitate those cuts may cause management to underestimate the need to keep their employees ' interests at heart .
need wo -3	It certainly wo n't need to be done again .
needed badly -1	To move over from religion into art with his newly soul , he badly needed a bridge - a Dutch bridge .
needed get 2	A lot of international help will be needed to get things moving .
needed keep 2	We had other social policy commitments and we also needed to keep to those .
needed know 2	But only in three felt they were being told all they needed to know .
needed make 2	It 's easy to install , will cut down fuel bills and is manufactured using less power than is needed to make traditional insulation .
needless say 2	These things were done without the knowledge of parents , needless to say .
needs basic -1	Within the effector ( ) nervous system are neuronal circuits that periodic movements , so that the animal 's basic needs are met .
needs educational -1	It is important to bear this in mind in any study of the role of school governors in meeting special educational needs .
needs made 3	But there is one further distinction which needs to be made .
needs really -1	It is the latter one really needs for strategic analysis .
needs still -1	Nevertheless , in the UK at least the value of education and business working together in partnership still needs assertion and justification .
negative attitudes 1	It was hardly surprising that these negative attitudes were also held by the trainees themselves .
negligence contributory -1	To counter claims in the courts erected the unholy trinity of defences of common employment , volenti non fit injuria and contributory negligence .
negotiations peace -1	The Islamic movement in Jordan opposes the peace talks with Israel , but it is not actively regional peace negotiations .
neighbourhood watch 1	A meeting has been arranged for 30th September in the Hall a neighbourhood watch will be set up for Belmont Road area .
neighbouring countries 1	It has invaded Angola on several occasions , and has launched punitive raids on alleged African National Congress ( ANC ) in a number of neighbouring countries .
neil dr -1	It occurred to her that in any other circumstances the only description for what she and Dr Neil constantly did was flirting .
neil kinnock 1	If indeed Darlington is a barometer of national trends then would be more than enough to give Neil Kinnock the keys to Downing Street .
neither side 1	Wilson attempted to mediate between the powers to end the war , but neither side was prepared to give in .
nelson mandela 1	But at least Reebok associated itself with a specific cause - unlike the American network that broadcast the Nelson Mandela .
neo classical 1	Criminal justice systems in the nineteenth century neo-classical lines .
neo nazi 1	The opposition Social Democrats called for neo-Nazi arsonists to be punished severely .
nerve cells 1	Some fifty years ago the engineers came up with devices that could record the electrical activity of brains and nerve cells .
nervosa anorexia -1	At no time during the writing of The Snow-White Soliloquies did I make any conscious connection between its contents and anorexia nervosa .
nervous breakdown 1	All this mental harassment has affected me so much that my doctor has warned me that I 'm of the edge of a nervous breakdown .
nervous central -1	HIV also infects other types of cell , including other blood cells and cells of the central nervous system .
nervous system 1	HIV also infects other types of cell , including other blood cells and cells of the central nervous system .
ness loch -1	IT IS almost exactly 50 years since the world at large was first made aware of the monster of Loch Ness .
net profits 1	During the 1980s corporate America did pay out a large share of net profits in dividends , and it did spend billions on share repurchases .
net safety -1	Areas which contributed to the safety net in the first year ( 1990-91 ) will not make any contribution after 1990-91 .
net semantic -1	Rough notes may be entered and do not need to be attached to the semantic net .
nether council 3	Thank you for the copy of the above planning application which has been discussed by Nether Wyresdale Parish Council .
nether wyresdale 1	Thank you for the copy of the above planning application which has been discussed by Nether Wyresdale Parish Council .
nets drift -1	Interceptory fisheries such as the North-East drift-nets take fish from many rivers and this local management .
network area -1	It is currently working a system for extending the security provided on Unix and local area network systems .
network computing 1	UniSQL Inc has joined 's AthenaMuse Software Consortium , a sponsored research group seeking to produce next-generation multimedia software for distributed network computing .
network rail -1	It also should give greater emphasisis to the ability to link into the rail network .
network road -1	The building of a new stretch of dual carriageway nearby might offer a lead into the building of the road network across Britain .
networks area -1	The workstations communicate via high-speed Asynchronous Mode local area networks with 500Mb per-second backbone capacity - 50Mbps distribution to individual workstations .
neuropathy autonomic -1	All three diabetic patients had a satisfactory outcome despite the fact that one of them has severe autonomic neuropathy .
neville chamberlain 1	It did not sound serious to Edward , given the circumstances of Neville Chamberlain 's fall from grace .
nevis ben -1	It 's also somewhat perverse to complain a few innocent posts the top of Ben Nevis is a lofty scrapyard .
new breed 1	In fact , no one seems to know exactly where future career opportunities lie for this new breed .
new completely -1	It allowed him to take words that already and yet express himself in a completely new way .
new delhi 1	ZIMBABWE 'S batsmen collapsed against the Indian spinners on the fourth day of the Test in New Delhi yesterday .
new dimension 1	Instead , he was holding out like a carrot a heart-stopping headlong into a new dimension of existence .
new entirely -1	Even so , PNP has clearly brought along with it a few entirely new initiatives .
new era 1	It 's doing something like this which is historically the foundation of this country and carries us to a new era .
new homes 1	But once ashore , others seem to have had little difficulty in establishing new homes .
new laws 1	By the time this is read the club season will be under way and we can assess how players adapt to the new laws .
new models 1	Hot out of the moulds from Perception are two new models .
new oed 1	This will be used by an outside agency to photocompose the text of the New OED for the lexicographers .
new ones 1	This is a useful mechanism which allows the agreement to be easily updated by replacing schedules as old products are dropped and new ones .
new orleans 1	He made it seem as if he had gone to New Orleans , got sober and wrote a book .
new political 1	I wonder whether you follow any special procedure when you spot a new political party in the House .
new recruits 1	Since the new recruits in the hive had not been tampered with and were stimulated by the light , they misinterpreted the dance of the foragers .
new scientist 1	Certainly the results are in marked contrast to those found in a poll conducted by New Scientist in 1973 .
new species 1	Darwin is pleased with this analysis of how sex enables new species to arise from old .
new testament 1	Are there steps through which we can begin to learn again what was so clearly a part of the New Testament church 's experience ?
new wales 2	The problems are typified by farmers rice and cotton on irrigated land in New South Wales .
newcastle tyne 2	I joined the branch on foot in the city centre division of Newcastle upon Tyne City Police .
newcastle united 1	GAVIN Peacock is hoping for a little help from his friends in the Newcastle United side this season .
newcastle upon 1	I joined the branch on foot in the city centre division of Newcastle upon Tyne City Police .
newington stoke -1	That was true , in fact Stoke Newington was turning into the Storyville of British jazz .
newly built 1	The whole hospital was made up of various bungalows which surrounded one newly built principal building .
newly created 1	The only kind of credit which is inflationary is that which is newly created by the commercial banks ( and similar institutions ) .
newly formed 1	In 1877 , the newly formed Wolverton Volunteers were No 6 company of the 1st Bucks Rifle Volunteers and consisted almost exclusively of men in the Works .
newly independent 1	In the 1950s , the civil war with the Communists had made the newly independent government nervous about its defence and security .
newman paul -1	It is the official opening of a holiday camp for critically-ill children being set up by his close friend , Hollywood Paul Newman .
news agency 1	The official admission came a statement by the Tass news agency .
news clock -1	He talked about events in the Middle Ages as if they 'd happened-yesterday and been fully aired on the nine o'clock news .
news conference 1	Almost a week after Murray Pugh was , his parents faced a news conference today .
news evening -1	In conjunction with our radio broadcasts , we often run the campaign in the local press and Evening News .
newspaper art -1	The Art Newspaper is delighted to be one of this year 's winners and will use the award to build up the paper 's archive .
newspaper local -1	A FEUDAL landowner has imprisoned 250 people as bonded labourers in a private jail in Pakistan , a local newspaper reported yesterday .
newspapers local -1	This would be ideal for most local newspapers and many others besides .
newton aycliffe 1	Call is already in place in six sites in Darlington and Newton Aycliffe .
next section 1	The programs , barr and for ordering the data are described with their algorithms in the next section .
next within -2	The band are currently scheduling a series of autumn in the UK , details of which are to be announced within the next two weeks .
nez perce 1	A visiting doctor counted the graves of 100 infants including the daughter born to Joseph on the eve of the Nez Perce flight at .
nhs within -2	For the same or less costs , health authorities could combine their resources to purchase better from within the NHS .
ni contributions 1	The rate of basic pension depends on your record of NI contributions over your working life .
nice things 1	THE new Cosmetics to Go catalogue is out a treat for all those who like a good as well as nice things .
nicholas ridley 1	Privately , Nicholas Ridley could be a man of great sensitivity .
nicholas sir -1	The initial legal advice had come from Foreign Office lawyers but the advice came from Sir Nicholas .
nicholas st -1	A NEW tradition begins this week when the city of York holds its first annual St Nicholas .
nick faldo 1	The 33-year-old 's personal life floundered after his US Masters last April but a professional golfer , he was second only to Nick Faldo .
nicklaus jack -1	No-one had ever heard of such at this par-five and the reputation of Daly was further , substantiating an earlier assessment by Jack Nicklaus .
nigel lawson 1	THE PRIME Minister gave her to Nigel Lawson last night his decision to raise interest rates to 15 per cent .
nigel mansell 1	A good omen is the fact that the last man to drive a British engined Formula Three car was Nigel Mansell .
nigh well -1	Alongside the brilliant frogs sit other frogs that are well-nigh invisible .
night tomorrow -1	The Blues are three points ahead of Forest now and they must ensure that the gap is still the same tomorrow night .
nights sleepless -1	But the big news of the day that gave everyone sleepless nights was the Cuba Missile Crisis .
nights staying -1	All guests staying 5 nights or more receive rail tickets to with lunch .
nineteen fifty 1	Mhm and he lost the mails in nineteen fifty five .
nineteen seventy 1	I have to move under section one hundred A four , the Local Government Act nineteen seventy-two .
nineteen sixty 1	It is a U S film released in black and white in nineteen sixty .
nineteen thirty 1	And when I say old , that was designed and in nineteen thirty five in the States .
ninth century 1	Its influence was slow to make itself felt , and it did not make a clean sweep of Western monasticism until the ninth century .
niro de -1	It 's a long way from completion , but says he 's already approached ROBERT DE NIRO to play Elvis .
nitric acid 1	Knitted catalyst products for the nitric acid industry are produced at our Noble Metals facility at Royston , UK .
nitrogen oxides 1	A spokesman pointed out that there were over 200 stations in Germany nitrogen oxides .
nixdorf siemens -1	But even the problems of these companies seem to pale into insignificance compared with those of Siemens Nixdorf Informationssysteme AG .
nobody else 1	How comes Heidi 's having a sherry and nobody else is ?
nodes lymph -1	There may also be a degree of enlargement of the lymph nodes in the groin .
noise background -1	An aid can be very helpful in the monitoring of speech and voice and in helping to assess the amount of background noise .
noise much -1	He raised his wings and clattered his cage , dashing his talons and beak against the bars and mesh to make as much noise as possible .
nominal value 1	The shares issued are recorded in the company 's balance sheet at nominal value together with the amount of any additional consideration .
non alcoholic 1	Table III shows the proportions of cases of and non-alcoholic liver disease .
non aligned 1	This might do harm in dealings with a country which wished to remain non-aligned .
non almost -1	While the evidence for the validity of the hypothesis is much debated , the evidence against it is almost non-existent .
non committal 1	His words reached Lucy 's ears in a non-committal tone .
non communist 1	Japan remained Vietnam 's largest non-communist trading partner in 1990 .
non director 2	He has been a non-executive director of Dalgety since 1990 .
non directors 2	Give the identity of independent non-executive directors together with a short biographical note on each .
non hodgkin 1	To investigate the relation between parental employment in the nuclear industry and childhood leukaemia and non-Hodgkin 's lymphoma .
non insulin 1	To evaluate the effectiveness and acceptability of centrally organised prompting for community care of non-insulin dependent patients .
non intervention 1	While Ionia was slowly beaten down , the question of intervention or non-intervention kept Athens painfully divided .
non invasive 1	Magnetic resonance imaging is a non-invasive method , which shows very osteonecrotic changes and which is in good agreement with pathoanatomical findings .
non payment 1	Non payment costs the taxpayer millions of pounds a year , so today roadside checkpoints were set up to stop drivers at random .
non profit 1	It is a non-profit-making organization which is controlled by its members .
non proliferation 1	France on Aug. 3 signed the Non-Proliferation Treaty , which aimed to prevent the proliferation of nuclear weapons .
non standard 1	There will be opportunity to examine the relation between non Standard English and the educational performance of minority group children .
non stick 1	Lightly a non-stick frying pan and a medium heat .
non treaty 2	France on Aug. 3 signed the Non-Proliferation Treaty , which aimed to prevent the proliferation of nuclear weapons .
non violence 1	As for the Essenes ' supposed non-violence , there is significant evidence to disprove it .
non violent 1	It seems to me that it must be a very fine line must be drawn a violent act and a non-violent act .
non zero 1	In this case estimation of equation ( 3.30 ) will lead to a non-zero intercept .
none less 2	In all cases here ( one ) the testator had none the less made a juridical intention quite clear .
none second -2	To meet the needs of over one million customers , British Gas South Western offers employee training which is second to none .
nordern frau -1	There was a glum silence for a moment or two then Frau Nordern climbed into bed .
nordern herr -1	But as he attacked his potato salad Herr Nordern felt exultation .
normal circumstances 1	And it was precisely what in normal circumstances Lisa would have done .
normal perfectly -1	I tried to look as if this was perfectly normal , as if I 'd asked him to make the entry for me .
normal working 1	During normal working hours just phone your local service number or local shop .
norman anglo -1	Moreover , the prima facie evidence for [ h ] -dropping continues well into - long after there can be any suspicion of direct Anglo-Norman interference .
norman lamont 1	IT 'S not often that I am moved to feel genuine sympathy for a Cabinet Minister , let alone Norman Lamont .
norman tebbit 1	Even then , the terms of the protests put forward by officials of his Chingford Association proved too strong for Norman Tebbit .
northern echo 1	Now the couple enjoy a less hectic lifestyle and for Mr Jefferson the highlight of the day is receiving The Northern Echo .
norton chipping -1	It was Chipping Norton 's pride being rebuilt after a fire in 1872 .
nose blew -2	Lorton blew his nose and drank half a mug of coffee .
notable exceptions 1	We have done well in our provincial fixtures , with notable exceptions against the in the first half and in the defeat by Otago .
note interesting -2	In this context it is interesting to note a finding from Arthur Kornhauser 's study of industrial workers .
notice days -1	In any other case a date must be fixed for and the parties and the guardian ad litem must be given seven days ' notice .
notice even -1	He could n't move Richmann passed out of his field of vision , not caring enough to even notice any longer .
notice short -1	No doubt the army has lavish stocks of both ; but no capacity has been retained in Britain to make more of them at short notice .
noting worth -1	It is worth noting had they not scored those four goals the game would have been drawn .
notoriously difficult 1	This form of association is quite fascinating but not easily replicated in the aquarium diadema urchins are notoriously difficult to keep in captivity .
notre dame 1	But I have never witnessed anything so triumphantly awful as Notre Dame , .
